wallet_address,ADHD,ANSEM,ARI,ASI,ATEHUN,AUTIST,BAGS,BEATS,BERA,BID,BIGBEN,BOZO,BUBZ,BUDDY,BUSSY,CAPPY,CAT,CATBAL,CATNIP,CHEF,CHINA,COPE,COZY,CZ,DROP,FARM,FARMED,FATCAT,FEUSD,FLASK,FLY,FRAC,FRIED,FRUDO,FUCKY,FUN,FUND,GENESY,GMEOW,GPT,GUP,H,HBOOST,HFUN,HODL,HOP,HOPE,HPEPE,HPUMP,HPYH,HWTR,HYENA,HYPE,ILIENS,JEET,JEFF,JPEG,KOBE,LADY,LAUNCH,LICK,LICKO,LIQD,LIQUID,LORA,LQNA,LUCKY,MAGA,MANLET,MBAPPE,MEOW,MOG,MONAD,MUNCH,NASDAQ,NEIRO,NEKO,NFT,NMTD,NOCEX,OMNIX,PANDA,PEAR,PEPE,PIGEON,PILL,PIP,POINTS,PURR,PURRPS,RAGE,RANK,RAT,RETARD,RICH,RIP,RISE,RUG,SCHIZO,SELL,SENT,SPH,STACK,STAR,STEEL,STRICT,SUCKY,SYLVI,TATE,TEST,TIME,TJIF,TRUMP,UBTC,UETH,UFART,UP,USDC,USDE,USDHL,USDT0,USDXL,USOL,VAPOR,VAULT,VEGAS,WAGMI,WASH,WHYPI,WOW,XAUT0,XULIAN,YAP,YEETI
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,185491.1641,589.55375,175835.79391046,67236.5028116,0,0,1085363.4393199999,0,0.424867,49652620.566809997,0,383.3676333,0,0,0,0,0,1641.7334748,44333.73488927,685.03017297,0,1116.00111419,0,1177.6114649,0,315.51952958,0,1884.29671659,0.0,0,0,0,0,0,0,0,0,0,1723615.72765894,5889217.5630016997,3535.93424232,0,0,2773.33621111,5907.27893726,0,200000.0,29900.26107,0,599.95994226,0,203.30420184,57019.13278086,508036.58157,62098.55354,3212.47436,125000.0,0,0,1.0,2526015.7063500001,36730.9950867,367791.13629088,8903.82954537,0,15.0,1157727.2518800001,14628.4762066,0,11723.6859961,142018.670255,565378.97016922,707961.4318933,11478855.1593999993,2116.20966662,178364.960565,16218.37798945,0,0,0,479866.648098,1047717.21879,369274.698216,59277.419923,0,50147.67501506,957.97173417,137475.36293,0,1767204.93836,0.02,0,30.555941,190.33833109,489.30302469,0,0,116897.01264,3450.20509932,705379.11546,3322379.6794545799,0,0,5581.02922714,188.19567639,185763.86605,0,3513.91997934,0,0,8333.333333,0,82117.5784221,17.83313984,0,0,5090.1408831,152018.78127039,0,0,0,0,0,0,5324.68892755,17370.68754056,0,0,0,26244.84778,0,673781.6309099999,1356.34234052,726970.94888
0x493db0ed7514c975e9abcc110bd40c473b6763e3,0,0,0,0,0,0,0,0,1231.766796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368198.92180006,0,0,0,46052.63157894,0,0,1.0,0,3664.86604595,0,0,0,0,0,0,0,0,33124.314129,0,0,145250.28794,0,7637.767248,0,0,0,0,0,0,3404.095535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000.0,0,0,11277.48859655,0,0,0,0,0,0,8333.333333,0,0,0,0,0,0,52.62775112,0,0,0,0,0,0,1299.89995834,0,0,0,0,0,0,0,0,0
0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,445793.21944,1564.54377,520274.59061818,190170.9198268,5.0,0,2809083.12659,0,40836.641728,145241899.8443199992,43567.96304911,1431.8682194,0,0,0,0,0,15.0,129683.30390233,0,0,178.9712505,0,4685.9009535,0,0,0,0,0,0,0,0,0,0,925486.75938639,26688.244149,0,0,5459103.4012529096,17226908.4226078987,10343.17627584,0,0,10320.6140818,17279.74084678,0,509690.33427,88916.67566,0,0,0,0.82983372,1495955.8237713899,3262339.0875599999,353514.91511,12225.52965,0,48650.2951,0,1.0,7502552.0334700001,20379.93084094,0,0,0,15.0,3587910.6754299998,96744.8113024,6090.58524,34688.8184511,441281.613874,2930528.0908942302,2564.74144406,404060.35382,0,605482.1835470001,0,0,0,0,1753252.0725469999,44213.09475,783435.519473,26564.2011841,0,201325.62457305,0,785955.92274,10480194.2886599991,5169358.6306499997,492602.87350865,0,0,192.93963249,0,0,0,439724.55105,3497.3444327,2963173.9556399998,8824.0,0,0,11649.63250824,190.76769471,679686.66971,78876.44826,0,1561.2061,55010.40871,0,0,13258.0208518,0,0,0,14042.5008051,0.02009081,0,0,0,0,0,10312614.7266700007,11171.98902249,65811.51162413,1304485.2267370501,0,0,98678.48864,0,3545268.3187699998,189.33449499,731728.61636
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304302.81958587,0,0,0,0,0,0,0,0,35585.49249208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,811187.59816639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85349.27032608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334468.75215511,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9327.79919102,0,0,0,0,0,0,0,0,0,0,0,0,0,5783.93424917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xb2833d8822baa7b4e6418c0d891ec94db31adf5a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318521.3479130799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xd22fd233a6ed7b6a19c659fb4f05fefa4f0c7043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282394.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x656c8da58d738295e03550796dd83900aa7c6525,0,0,0,0,0,0,0,0,567.459857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999807,0,0,0,125000.0,0,0,1.0,0,32404.08994034,0,0,0,0,0,0,0,0,21717.657816,0,0,124450.23363,0,4.315925,0,0,0,0,0,0,2874.427192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000.0,0,0,0,0,0,0,0,0,0,8333.333333,0,0,0,0,0,0,0.00000007,0,0,0,0,0,0,1113.75237793,0,0,0,0,747.10378,0,0,0,0
0xc764acfc6724434fb7a76f1c09db9b42481a443c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x4a207d289fd49e60502451099771127bcf35b961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588577.07146588,0,0,0.38449,0,0,0,0.0,0,12156.72876636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3504.42477876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001115497,0,0,0.0032442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x03b9a189e2480d1e4c3007080b29f362282130fa,26413.19005,0,26121.51742064,0,0,0,0,0,2497.964362,7376210.2941100001,0,81.9212173,0,0,0,0,0,0,6586.05624303,0,0,4.93890347,0,235.6542208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305595.66364104,874880.4537729,0,0,0,266.24546875,0,0,0,0,0,0,0,0,106041.69787904,193288.70626,0,527.84941,66666.67333332,0,0,1.0,593710.30272,24121.63639449,0,0,0,15.0,148405.49676,2883.0054658,0,1741.6275786,39307.964201,0,77.71447471,102291.30646,0,30498.056636,0,0,0,0,69398.608337,0,35444.846513,0,0,11571.84586854,0,47664.7429,446803.7113,0,0,0,0,5.32437594,0,0,0,25323.09027,97.48537195,140997.83464,1975.0,0,0,8205.95997609,5.26443899,17365.34758,0,0,0,0,0,0,0,0,0,0,597.6004598,58215.16200023,0,0,0,0,0,523733.26834,1286.08114841,3524.33196365,0,0,0,16216.42358,0,208012.74898,5.22488831,18789.58267
0x7dacca323e44f168494c779bb5e7483c468ef410,0,0,13275.09770026,0,0,0,0,0,4684.397719,3748630.324,0,0,0,0,0,0,0,0,3347.06972331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444619.0208961,0,0,0,146.30613255,0,0,0,0,0,0,0,0,1061527.09751974,0,0,0,0,0,0,1.0,0,170.64380332,0,0,0,0,72460.79385,0,0,885.1046396,55633.815217,0,0,93592.98925,0,66890.142277,0,0,0,0,31203.446461,0,84928.71435,0,0,0,0,0,88347.00173,0,0,0,0,0,0,0,0,0,0,0,1975.0,0,0,8048.27854982,0,0,0,0,0,0,0,0,0,0,0,0,303.7038148,3351788.42230298,0,0,0,0,0,266164.10502,989.58658534,1338.56281947,0,0,0,4506.47921,0,0,0,0
0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050066.8962109,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11256.29385548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00725871,0,0,0,0,0,0,832.72395502,0,0,0,0,0,0,0,0,0
0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372920.92,0,0,0,125000.0,0,0,0,0,15950.16743335,0,0,0,0,0,0,0,0,19.098951,0,0,63833.09584,0,0,3504.42477876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000.0,0,0,4067.13484083,0,0,0,0,0,0,8333.333333,0,0,0,0,0,0,0.00293097,0,0,0,0,0,0,750.31619345,0,0,0,0,9.40072,0,0,0,0
0x470acb23c5cf667e12e9d1cf6d53c9b203f4db90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018342.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x89453000afe81a8843ae2d1c5df0f340f8800779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189786.07929746,0,0,0,0,0,0,1.0,0,19449.58408989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x37ba55978b3add5e61c3cf1cdfe445c0d55482dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952409.52347028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x992ec71207c9e183e64c81461908f1a1a783af6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572729.93860309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737285.25792761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xe06a3c8d7eedc8c907a0bba434804288a6f7cd24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844589.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xeb995c082dd1249fde261fa7c0b1c0a04fda86c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840240.18013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6539.88534591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,0,0,452397.57318099,0,0,0,0,0,632.092844,0,0,4.026587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14678.034463,15.69,0,0,0,0,0,0,0,0,0,0,68117.30614,0,0,0,0,7403.60114243,0,0,0.79521,0,0,0,0,0,20050.79838118,0.14141495,0,0,0,0,21096.1939689,0,0.1793744,17144.402955,0,200.46117316,75178.29519,0,3933.72485,3504.42477876,0,0,0,1.079192,0,1731.607759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1841838,0.00061267,0,0,0,0,0,0,673.19943332,0,0,0,0,3148.27095,0,0,0,702.96332
0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319590.96066564,0,0,0,0,0,0,0,0,12189.21012422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x13c50dcdee4bbcba71baf578b345cdd35c7928be,0,307.98482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5816909.5948299998,0,0,0,0,0,0,0,0,0,15.69,0,0,0,0,0,0,3513.6448651,0,0,0,0,0,0,0,0,68044.81218999,60529998.8980000019,0,17239.36734,0,0,0,0,0,24705.12353001,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3504.42477876,0,0,0,0,0,0,0,0,0,0,0,1080276.5804600001,0,0,0,0,0,0,0,0,0,0,0,1975.0,0,0,0,0,37.71495,0,0,0,0,0,0,0,1.23229816,34.887359805,421.34186,0,0.00949915,0,0,0,0,430.91116734,0,131887.08158731,0,0,0,0,0,0.049991,46995535.3259999976,0,0
