class,hash,time,token,type,from,to,USDAmount,priority,fee
SPOT,0x35b5ddf968ad3394c746041a847284019f0054c825e60a720c8edc675cf269dc,1735868490300,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25232.56596,-1,0
SPOT,0xa56a58769987f21da923041a84728201930007e133087bd53b15d7ee915d62ae,1735868490161,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25232.56596,-1,0
SPOT,0x057d346b4bd4d4906115041a8432dc0164001d43e06ba03b6132a8fa96005c03,1735867452517,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25248.03626,-1,0
SPOT,0x4bc1b606b6954d0468e9041a8432d8017f00ab9d5db43c2b7f93f581417eb6e8,1735867452316,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25248.03626,-1,0
SPOT,0x6312b307f109d1a957c4041a84322c0203e7003767397c17fc72aebaf7ff84cb,1735867441445,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25248.03626,-1,0
SPOT,0x8679a73258f185d4f6eb041a84322a0202ec00235ff295ffc3021cfb7399a0db,1735867441416,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25248.03626,-1,0
SPOT,0xb4d370918c2dcc45d7d6041a82d24501e1001b4d087a13e10a03fd9f1fca263e,1735861707912,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,30304.1336,-1,0
SPOT,0xf965185bf08c9087c41f041a82d24301a100d403e626d1554c429f33ceea0043,1735861707811,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,30304.1336,-1,0
SPOT,0x46e8b5c316df6b6a380a041a82d016015300d83295cc673d10435d91c7a9c075,1735861671977,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,30293.41997,-1,0
SPOT,0x4a7df4061921e9bbb59f041a82d014015600844897bc2cdf47700bd858b48ba9,1735861671847,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,30293.652179999997,-1,0
SPOT,0xa330ca8060db127534b3041a82cfd5014d00cea4dbb772630727de440d2e64ef,1735861667973,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,30305.393399999997,-1,0
SPOT,0x396b7a4bd04291367334041a82cfd401440002b201b95cf5cd8306978a6de779,1735861667940,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,30305.161099999998,-1,0
VALIDATING,0x0db903b86d57a7bfaa4e041a3fd1a501bb009aa49913db49b5af4a776689bf3f,1735553493741,-,tokenDelegate,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,-,-,-1,0
SPOT,0x94aae3da0c0d5b599d6b041a3faa5e01f100c91dacd330bac61d6d07b1005b6e,1735552598263,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25274.9222,-1,0
SPOT,0x5adc1b4444e835bd7c85041a3faa5d01a700462b9bd284988d0f412f9d052b72,1735552598220,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25274.9222,-1,0
SPOT,0x7d28ad27f37767531637041a2d62d601650007730d07b392223c84bd6ee02be5,1735445548697,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25237.511599999998,-1,0
