class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0xd844087999ef8e147425042599ed890201060025faf722f6f5f33caf13cfbb12,1750052786720,HYPE,Transfer,-49998,0x0b40f443a5db715151848d9f556a8c644feb8474,0xb72c031fce92dd6627685c4edd225342eb2edd5f,41.225,0,-2061167.55,0
TRANSFER,0x651e19fc73f04fddeb68042599eb1e020190009c02372cfe24e71fbf802871c0,1750052739449,HYPE,Transfer,-1,0x0b40f443a5db715151848d9f556a8c644feb8474,0xb72c031fce92dd6627685c4edd225342eb2edd5f,41.225,1,-41.225,0
SPOT,0xa9164012c3f971abccc6042599ea4f0201e20053bc29f045f25dca43cdf9c513,1750052723108,HYPE,Sell,-1,0x0b40f443a5db715151848d9f556a8c644feb8474,0xffffffffffffffffffffffffffffffffffffffff,43.407,0,-14.324309999999999,0
FAILED,0x69e5a2829ec42c248090042599e98b02010000f94460669a927810debc2a9980,1750052708639,-,spotSend,,0x0b40f443a5db715151848d9f556a8c644feb8474,Insufficient USDC balance for token transfer gas.,,0,-,-1
TRANSFER,0x57827bc603680b7c8ac10424f9eaf60203bd0021b5b3eabc8d31a229a44a379b,1749234182821,HYPE,Transfer,400000.72148,0xb2ee477ced8d69afdb5707b31170c782f5f26f5b,0x0b40f443a5db715151848d9f556a8c644feb8474,41.225,1,16490029.743013,0
