class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,9333.53948414,0x0000000000000000000000000000000000000000,0x2058bcf5cecbac4ac91393fe18655ea338979797,0,-,0
VALIDATING,0xa80512b4489eb8a25bef041a76c59701d5003bb430de098c70c9c1a7932f6327,1735811552906,-,tokenDelegate,,0x2058bcf5cecbac4ac91393fe18655ea338979797,-,0,-,-1
TRANSFER,0xb6a9823040763ef10a350419f35d47017a00da3e938254bfb87193f7bfbaca4f,1735099226082,USDC,Transfer,29.438654,0x190aeee0536e71882daa0cca1b1220083d74bb96,0x2058bcf5cecbac4ac91393fe18655ea338979797,0,29.438654,0
TRANSFER,0x8a030ef201e5f07b4c510419f35999019e00e64cc98ba0f5fa72ee1dc2b7ef63,1735099137476,HYPE,Transfer,53109.102207,0x190aeee0536e71882daa0cca1b1220083d74bb96,0x2058bcf5cecbac4ac91393fe18655ea338979797,0,2189024.4202170228,0
TRANSFER,0x5520c1da7231b9c2c40a0419e9ffb801800095ba04ac08d744acf29d67ecd6ef,1735042857320,HYPE,Transfer,27319.176635,0x190aeee0536e71882daa0cca1b1220083d74bb96,0x2058bcf5cecbac4ac91393fe18655ea338979797,0,1126028.1629531125,0
TRANSFER,0x449a12632cf87bae31360419e65a950201260028e5a84f8c5ebc2ca4ed76acc6,1735020959244,HYPE,Transfer,135000,0x190aeee0536e71882daa0cca1b1220083d74bb96,0x2058bcf5cecbac4ac91393fe18655ea338979797,0,5564362.5,0
TRANSFER,0x9a44acabf7ad676840730419e27a66020111003467a61dfef60b2ad3915d59ff,1734997718542,HYPE,Transfer,165094.51685,0x190aeee0536e71882daa0cca1b1220083d74bb96,0x2058bcf5cecbac4ac91393fe18655ea338979797,0,6804783.248264876,0
TRANSFER,0x2e203a675ff599f2c79a0419e277dd016d0054d4476f8805c4a4ce439ab8f99e,1734997659597,USDC,Transfer,100,0x190aeee0536e71882daa0cca1b1220083d74bb96,0x2058bcf5cecbac4ac91393fe18655ea338979797,1,100,0
