class,hash,time,token,type,from,to,USDAmount,priority,fee
FAILED,0x01336655d0ae40f4af0b041f922df0010a00b0596b1d56666acdb82dba398e71,1742001888012,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
FAILED,0xb351ebcedae88043ed5b041f814516011700229569f45042b32abd5814a706f2,1741913261309,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
FAILED,0x0d79f3421ae546f1bf2b041f74ca42020116009bb10b62a03c25eb2cd9994db1,1741848729948,-,updateLeverage,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Cannot switch leverage type with open position.,-,-1,0
PERP,0xec7fde02e2284acb1607041f74c91c01df006712b6b7490285a160fa2ac16ba9,1741848704136,HYPE,order,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,limit,-0.38343,-1,0
PERP,0x5759c81a79d3666bf179041f74c8810201f700c3d082c873cd17be2b6d66a79a,1741848693022,HYPE,order,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,limit,-245.26079999999996,-1,0
FAILED,0x2ed66edd245fcc15511d041f71afcf017000c8ffa3ed44f273ed2468ff68d3dd,1741832563620,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
FAILED,0x6ba453a117cdb39d68a6041f603b50012b004881ebc0765083de5c86a8406f9e,1741742638291,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
FAILED,0xea1063e22f29568e1658041f4fbcb90202ab00ee726813ee874826673dcd8f39,1741656942176,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
FAILED,0xa3d98132fa63abc81c88041f3f952001db007163965d969f75b455bd1c81f907,1741572754574,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
FAILED,0xd802317286bb95faf8ef041f3549400102008e4b4296582d6548053accc9b5b5,1741519517579,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
