class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xcb63cfb1902e8c3d5d600418c3e75802020900403d0de5e19918ab4424f515c2,1733703721706,HYPE,Buy,11111,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,6216.49025,0
SPOT,0x509d7cac646a692913c40418c3dfe402014000432d9520410f4fd2543548b219,1733703600014,HYPE,Buy,11111,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,100825.572,0
SPOT,0x8ceb85758b4bdb98f9620418c3dd67019e005888b3cd6ba092a29ec504144da3,1733703559589,HYPE,Buy,9591.739999999993,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,4262.81788,0
SPOT,0x7fa5f8cd8d9cb0224a720418c3dcf001fe00d59052748d79b8b4aad4fdf33c22,1733703552138,HYPE,Buy,9591.74,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,138.7288,0
TRANSFER,0xa6a3a8430fcc1eb1e8910418c3dc970147004e8bafbc47418eda20e8ff419675,1733703546770,USDC,InternalTransfer,2951263,PERP,SPOT,0,2951263,0
FAILED,0xef8cee9e874e82da69020418c3dbde0102007406e0183bd668407452e8f390c2,1733703534304,-,VoteEthDepositAction,,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,Deposit has already been credited.,0,-,-1
DEPOSIT,0x30fc0520c33e14e7417399b4a31b29f005ad2fa98c7774215f3df612f5e8d7b8,1733703534304,USDC,Deposit,2951263,Arbitrum,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,2951263,0
SPOT,0xe4f68993e3618a8bab670418c1869401a200d2785dce092035baf6b369c9a19f,1733693828083,HYPE,Buy,3927.27,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,55178.143500000006,0
SPOT,0xd395c051be0549a1a9c70418c185ea017800edfef36726ddaff70395abb55ee2,1733693817364,HYPE,Buy,4725.45,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,66392.5725,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1733693798005,HYPE,Buy,10.05,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,141.20250000000001,0
SPOT,0x55ae33dc00fc127df4630418c184b2018f00b6243a369b80da4debb022dd0edd,1733693797972,HYPE,Buy,1002.64,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,14087.092,0
SPOT,0x9b3d9b8a4cfb4f792e440418c1847d019e0002bfbca9aec1d0abf7e06fd36d11,1733693794687,HYPE,Buy,951.64,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,13370.542000000001,0
SPOT,0x8e9de3ad0df7d873c7b80418c184640188001b890cec3b14b39f898d969aff47,1733693793141,HYPE,Buy,85.92,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,1207.1760000000002,0
SPOT,0x580201cce3f150fbef1c0418c18128017400de9bdd94eb7605c056d9d9728ec0,1733693740019,HYPE,Buy,39.85,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,559.8925,0
SPOT,0x03069486a976ea71f7ee0418c11bf30178004983f1ad84f10fd626a259991956,1733692097757,HYPE,Buy,9523.599999999999,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,76768.3264,0
SPOT,0x6605470a1b2a8fd59caf0418c11a5b018300e73738436196d8898e18bfe84d19,1733692071244,HYPE,Buy,11111.000000000002,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,17934.76728,0
SPOT,0x176c39b468fd8da343f10418c1196c01b90031da973c19db3436b507bfa87e5f,1733692056306,HYPE,Buy,11111,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,1622.0124999999998,0
SPOT,0x8b30cff5c12f2490269a0418c118f6018300cefebb39e83ba988dd0320d29e27,1733692048896,HYPE,Buy,11110.999999999998,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,20089.088760000002,0
SPOT,0xf8cb829e2413fc20a5fa0418c1048b01b0008c4118ac0c1226e3cee5f5cb059e,1733691715865,HYPE,Buy,11110.999999999998,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,5363.87465,0
SPOT,0x41679762ff22c0459ef80418c0f93c018a007c18b43332c13d83a6a3f6b13065,1733691530714,HYPE,Buy,11110.999999999996,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,6738.552119999999,0
SPOT,0x060e41432972e2e5038d0418c0f746014700e4d41e25c99fe6aa4446cc1e833c,1733691498978,HYPE,Buy,11110.999999999996,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,6018.86213,0
SPOT,0x8cb24f563bbea2cff5610418c0f6b902012e00af2983f8a6e82dd795c386c38d,1733691490117,HYPE,Buy,11111,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,1844.99136,0
SPOT,0x2507ae412043610b94ad0418c0f37802021f0060f772316d5ad235a00e5b02f8,1733691437527,HYPE,Buy,117.19,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,1646.5195,0
SPOT,0x0d3b399501a3a8bf0fa50418c0f09a017d003e2fa5c0d535cdf7c69c6e527e88,1733691391618,HYPE,Buy,249.26999999999998,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,20.51008,0
SPOT,0x47977f844c5fe83e38c70418c0ea95016d0014711abb2a07912108e68e3dbd1a,1733691294529,HYPE,Buy,11110.999999999998,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,74.31358,0
SPOT,0xf584c4232b6d81bce8260418c0e9cc01680029b0b70976d34c3f00747c3c6a55,1733691281719,HYPE,Buy,11111.000000000002,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,22039.7889,0
SPOT,0x24b271a7887cb5d480340418c0e9470184007ea5c5e54261b6de4ba63f789d95,1733691273238,HYPE,Buy,11111.000000000002,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,979.8048799999999,0
SPOT,0x7eb187eae5297e07b0070418c0e5ba019d007bd6d8a6a85abc5536aed51dab97,1733691215757,HYPE,Buy,11111.000000000002,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,5183.11326,0
SPOT,0xac866f0b6af26efc8e220418bda3a6018700872a1259285be9195e4e9a2897c3,1733677681801,HYPE,Buy,11111.000000000002,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,836.9792199999999,0
SPOT,0x80abaa59f772172b4e5a0418bda31301d00055da614e797bc00d4f598f5331a0,1733677672309,HYPE,Buy,11110.999999999998,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,1783.19988,0
SPOT,0xc0f53adfdb0e4944d0540418bda1ec0199001f8027b9a94f57134295ef7cff10,1733677654016,HYPE,Buy,11111.000000000002,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,4289.80796,0
SPOT,0x3358ac3f6fe8efc04c5f0418bda15201dd000531175c67fab561f2d3883239d3,1733677644449,HYPE,Buy,11111,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,108135.03557,0
SPOT,0x0bb748edf7346928d2f00418bda0bd01e400f06862fecf7f67e5057f21e27824,1733677635372,HYPE,Buy,11110.999999999998,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,881.41464,0
SPOT,0xd2e401d3c7d3ae53a0bb0418bda0860203cb0085748a653d242cf62812aef2cf,1733677631834,HYPE,Buy,11110.999999999998,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,3555.4681,0
TRANSFER,0x8962c9704f7e7a9570d80418bda02c01e700dc258dc8a09c3fefc602670b6e37,1733677626161,USDC,InternalTransfer,3003515,PERP,SPOT,0,3003515,0
FAILED,0x7a4f1f7dc64543d6e4980418bd9f59019500bcd00f18442db793b88d137becba,1733677612484,-,approveAgent,,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,Invalid nonce: duplicate nonce 1733677578744,0,-,-1
FAILED,0x274b491bc1aedb4e50fd0418bd9f4f010b00aa248fb89fa86835fad3da7ad22f,1733677611931,-,VoteEthDepositAction,,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,Deposit has already been credited.,0,-,-1
DEPOSIT,0x570055b4af55525a2c00b99ef6d000328118d27261ea76a8f9ae0325674c9f46,1733677611931,USDC,Deposit,3003515,Arbitrum,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,3003515,0
