class,hash,time,token,type,from,to,USDAmount,priority,fee
FAILED,0xdc641f224d03931463be041e16e01d01cf007ad5c6f8668d24c6fa9629202d14,1740009775927,-,spotSend,0xb952a94e9a9a63b393946dea15e1d86d22656331,Invalid nonce: duplicate nonce 1740009725568,-,-1,0
TRANSFER,0xaceba1de1b5f4a95eaf1041e16ddbb0131006345cb613b18ab59a022a73872d4,1740009727527,HYPE,Transfer,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xb952a94e9a9a63b393946dea15e1d86d22656331,19089933.01462,0,0
TRANSFER,0x9d8d4027498978f61976041e1393a502053500d5ca00855f4f3f0bcc23a2d10e,1739992268174,HYPE,Transfer,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xb952a94e9a9a63b393946dea15e1d86d22656331,20.61475,0,1
