class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xfc2b736e9d4416fc75f0041b8e64dc0201b300dfefa4a54d126e8729f782c552,1736985301272,STAR,Genesis,3042.96366559,0x0000000000000000000000000000000000000000,0xdaaeb593f0ca48772902be38a8a3928917dc97df,0,-,0
TRANSFER,0x8100fcf196985ad1909d0419dfa33b018d00374117c505d5140760004ad55c02,1734980749242,HYPE,Transfer,391491.12294,0x24d5a2747c10bef7e27c58391c35920ec84083bd,0xdaaeb593f0ca48772902be38a8a3928917dc97df,0,16138047.069832679,0
TRANSFER,0x9be1b9d8f953e2d573ad0419db04a802025c006eb2f790b7eda11aa68a5408e6,1734953221231,HYPE,Transfer,1.56,0x24d5a2747c10bef7e27c58391c35920ec84083bd,0xdaaeb593f0ca48772902be38a8a3928917dc97df,1,64.30632,0
