class,hash,time,token,type,from,to,USDAmount,priority,fee
VALIDATING,0xce8623e6775b1619835604262870a0016900901ede4f94538a569d26a8b81c54,1750783286734,-,tokenDelegate,0xfdc5a81605d8b926947d2e865f74025dd53ac314,-,-,-1,0
SPOT,0x05acf4b0171035fb69d80426286d630202a80057721aea7c01f2d9ef04bc0a0d,1750783221532,HYPE,Sell,0xfdc5a81605d8b926947d2e865f74025dd53ac314,0xffffffffffffffffffffffffffffffffffffffff,-17.78621,0,0
TRANSFER,0x8ae2c95221854cef6cee0426286a4702025b0078a34c870104523ca1864330ee,1750783159096,HYPE,Transfer,0x2222222222222222222222222222222222222222,0xfdc5a81605d8b926947d2e865f74025dd53ac314,98414228.92597635,0,0
FAILED,0x971467490526c50f5e2f0426286a3d01250050e5bc6376ac6192310d63fd3fcf,1750783158334,-,evmRawTx,0xfdc5a81605d8b926947d2e865f74025dd53ac314,L1 eth api error: already known,-,-1,0
