class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0x520bb18970e45821f01a042224e42f017b002394a99fc068ba83746533912160,1745476871756,HYPE,Transfer,952408.97757436,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x37ba55978b3add5e61c3cf1cdfe445c0d55482dd,41.2485,0,39285441.71147599,0
TRANSFER,0x5388634e05f060ab13ce04221e2f7801de00d2fc759864564dfce2acad7bf425,1745441229356,HYPE,Transfer,0.54589592,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x37ba55978b3add5e61c3cf1cdfe445c0d55482dd,41.2485,1,22.51738785612,0
