class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xfc2b736e9d4416fc75f0041b8e64dc0201b300dfefa4a54d126e8729f782c552,1736985301272,STAR,Genesis,4692.66670422,0x0000000000000000000000000000000000000000,0xe36eebf15b7b5042d86885641f5b040a8d07ae18,0,-,0
TRANSFER,0x1663fcf9ddb124c580840419dfae38020132008fa912e2e6b1f0ebfedce8eb38,1734981005262,HYPE,Transfer,603187.02481,0x24d5a2747c10bef7e27c58391c35920ec84083bd,0xe36eebf15b7b5042d86885641f5b040a8d07ae18,0,24879956.805850476,0
TRANSFER,0xc636c86f72f5acdf83700419db0982014500a651478d5adbee11406ac286d697,1734953333102,HYPE,Transfer,6.17,0x24d5a2747c10bef7e27c58391c35920ec84083bd,0xe36eebf15b7b5042d86885641f5b040a8d07ae18,1,254.49707500000002,0
