class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0xbffa65c855eeceecbbc304241747c102011100d3d70bd3ed4f0f6adaf670662e,1748078378205,HYPE,Transfer,618974.67285975,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xad6b6913aa3e3071910a4d53a5c88dc01bade4a4,41.2455,0,25529919.86943682,0
TRANSFER,0xc5607d4df98569d8b3fc04240d672a0201f7002523faa5e5a29feb3a6152984f,1748028160416,HYPE,Transfer,0.29167425,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xad6b6913aa3e3071910a4d53a5c88dc01bade4a4,41.2455,1,12.030250278375,0
