wallet,net_staked,delegation_rewards
0x77c3ea550d2da44b120e55071f57a108f8dd5e45,12102745.45,59516.63
0x716bd8d3337972db99995dda5c4b34d954a61d95,0.0,0.0
0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,2968645.72,40366.84
0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,3349012.37,5332.34
0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,3000003.54,35197.65
0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,2379984.05,27760.06
0xfdc5a81605d8b926947d2e865f74025dd53ac314,2381382.07,2044.01
0xa350d83fdcc7ac81dfaedea1a87108401ccb015f,0.0,0.0
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0.0,0.0
0xc4ff1b50648213bdb064bea8c9e25bfa0606f93a,0.0,0.0
