snapped_at,volume
2024-08-02 11:20:00 +0000,1195419286.08403664225997377744580632
2024-08-03 11:20:00 +0000,1371480043.3126534554957375070395074
2024-08-04 11:20:00 +0000,838587988.86870179975678612375168571
2024-08-05 11:20:00 +0000,3599434758.80711054008604853301639783
2024-08-06 11:20:00 +0000,2091083230.72458575977838426343397983
2024-08-07 11:20:00 +0000,1355435654.13952206167664676040500568
2024-08-08 11:20:00 +0000,1295097761.91612485212946868915197376
2024-08-09 11:20:00 +0000,1281551573.813193445112786580178725
2024-08-10 11:20:00 +0000,877316775.48035896891912894737048116
2024-08-11 11:20:00 +0000,591835477.15824525618726803852176992
2024-08-12 11:20:00 +0000,867646858.66796877091105355265452655
2024-08-13 11:20:00 +0000,1193644929.79350100347167786320968224
2024-08-14 11:20:00 +0000,1216506848.12349227251895396934294683
2024-08-15 11:20:00 +0000,1111873172.93778481438034551499638398
2024-08-16 11:20:00 +0000,1129509955.3052493551498428666284372
2024-08-17 11:20:00 +0000,904869269.72421701564684271890604395
2024-08-18 11:20:00 +0000,449427083.77263630957446346761146988
2024-08-19 11:20:00 +0000,594840224.25496977906963818637752247
2024-08-20 11:20:00 +0000,910872197.9493461642637398714663832
2024-08-21 11:20:00 +0000,759869025.64065607109619054224535896
2024-08-22 11:20:00 +0000,1095725230.42676951034181809420430128
2024-08-23 11:20:00 +0000,746676507.05311936255664015955238592
2024-08-24 11:20:00 +0000,1337419196.4222134928660687557293962
2024-08-25 11:20:00 +0000,909530483.8592724764706217305766332
2024-08-26 11:20:00 +0000,885398249.5169911631052730508076022
2024-08-27 11:20:00 +0000,1090787030.3798089376682450816728656
2024-08-28 11:20:00 +0000,1857570595.53922256420986776963226962
2024-08-29 11:20:00 +0000,1204180032.07496826234668499073857324
2024-08-30 11:20:00 +0000,1019948016.40957780838517576833318598
2024-08-31 11:20:00 +0000,895113918.6079285285451457491220296
2024-09-01 11:20:00 +0000,406262924.13603494568860422289883554
2024-09-02 11:20:00 +0000,873428375.7970232966507388622299036
2024-09-03 11:20:00 +0000,773667813.3615081352235591159008089
2024-09-04 11:20:00 +0000,1185143719.62798375125178350980009199
2024-09-05 11:20:00 +0000,963950228.1230524466264687182595784
2024-09-06 11:20:00 +0000,1008933778.37358063573611137417046709
2024-09-07 11:20:00 +0000,1474000986.80884441986844882796473238
2024-09-08 11:20:00 +0000,506372441.20414311365579676422897229
2024-09-09 11:20:00 +0000,747047190.56693084413412769424122678
2024-09-10 11:20:00 +0000,1171087607.97525488569161785188984576
2024-09-11 11:20:00 +0000,881008907.31265556101227143447295098
2024-09-12 11:20:00 +0000,1070655979.334713344259332790454086
2024-09-13 11:20:00 +0000,753317892.240093357719252469194268
2024-09-14 11:20:00 +0000,955350620.36924622167112969309864522
2024-09-15 11:20:00 +0000,313141219.00992561272126393793162824
2024-09-16 11:20:00 +0000,845119807.09569338607456383537863928
2024-09-17 11:20:00 +0000,834316451.08059072543276180272419588
2024-09-18 11:20:00 +0000,1069423486.37231525199029938325891208
2024-09-19 11:20:00 +0000,1634888842.33985507829750564535965184
2024-09-20 11:20:00 +0000,1234829320.3773067543776119966698866
2024-09-21 11:20:00 +0000,848618853.71480787358363837967419923
2024-09-22 11:20:00 +0000,574940197.87994886334342934325200674
2024-09-23 11:20:00 +0000,1245366930.95807376473814812280206297
2024-09-24 11:20:00 +0000,1049393263.7071211030659524445311138
2024-09-25 11:20:00 +0000,1378884581.3143230995938108595433408
2024-09-26 11:20:00 +0000,1194028333.08748617817819696501960027
2024-09-27 11:20:00 +0000,1660685394.56246106757585082387214158
2024-09-28 11:20:00 +0000,1133502090.78783976911751478099465482
2024-09-29 11:20:00 +0000,524673768.05667328089821006090101296
2024-09-30 11:20:00 +0000,1264777595.53693935099569854470608619
2024-10-01 11:20:00 +0000,1176107120.02560256011893107355576544
2024-10-02 11:20:00 +0000,2953844560.126441656961813936709424
2024-10-03 11:20:00 +0000,1854779741.8134645685409955900698094
2024-10-04 11:20:00 +0000,1164889921.35306219703322395335251633
2024-10-05 11:20:00 +0000,1012826669.85269626732486917764325375
2024-10-06 11:20:00 +0000,337811860.87987777813338482858328
2024-10-07 11:20:00 +0000,921900560.89630413838875660936706053
2024-10-08 11:20:00 +0000,1205083785.2136018419888736079242878
2024-10-09 11:20:00 +0000,992290123.6893416979143667509647461
2024-10-10 11:20:00 +0000,1146175027.40597240744837427218254336
2024-10-11 11:20:00 +0000,1243190893.13123477081343951682445708
2024-10-12 11:20:00 +0000,782673686.22775696332092139011707666
2024-10-13 11:20:00 +0000,509101219.1867478074532953535758401
2024-10-14 11:20:00 +0000,967109615.56595967081469527649515975
2024-10-15 11:20:00 +0000,1028428952.06171992276239838126476747
2024-10-16 11:20:00 +0000,1902059302.41566005383003553249027089
2024-10-17 11:20:00 +0000,988363281.63206197553993676956749026
2024-10-18 11:20:00 +0000,1038434408.59086359607234766774018176
2024-10-19 11:20:00 +0000,747897523.93004530280533467443978246
2024-10-20 11:20:00 +0000,421204608.74949979086253853299717699
2024-10-21 11:20:00 +0000,926423785.2375575919731322066690325
2024-10-22 11:20:00 +0000,1388242943.92258494528789037608817398
2024-10-23 11:20:00 +0000,894616280.72384749471495351615758363
2024-10-24 11:20:00 +0000,1398866234.25346094174659044536684652
2024-10-25 11:20:00 +0000,977119762.742687205344156632571
2024-10-26 11:20:00 +0000,1696022323.328586306641066032233307
2024-10-27 11:20:00 +0000,447293157.83743071567774721609004034
2024-10-28 11:20:00 +0000,635288379.43291306260385064214146856
2024-10-29 11:20:00 +0000,1258646763.79053060597095905254781971
2024-10-30 11:20:00 +0000,1246286459.7365384381227814642225115
2024-10-31 11:20:00 +0000,870852813.92756639876729196530457495
2024-11-01 11:20:00 +0000,1454684106.43583559676213478929976586
2024-11-02 11:20:00 +0000,1106149701.35078261488422396959348463
2024-11-03 11:20:00 +0000,721957359.00986547520337106017627301
2024-11-04 11:20:00 +0000,895250933.55996752802553623069768921
2024-11-05 11:20:00 +0000,1059562965.60880529421164840354401427
2024-11-06 11:20:00 +0000,2748100026.82397363335726730168813784
2024-11-07 11:20:00 +0000,2118190714.86574337775046232040344875
2024-11-08 11:20:00 +0000,1678624594.660704284725335131765949
2024-11-09 11:20:00 +0000,1496980956.85417194660345448761971073
2024-11-10 11:20:00 +0000,1803487922.82822648554842628915386922
2024-11-11 11:20:00 +0000,3071159898.51856544051936365394702948
2024-11-12 11:20:00 +0000,5516340850.3418153823325235386630666
2024-11-13 11:20:00 +0000,4110868223.5153009141599473532668425
2024-11-14 11:20:00 +0000,4666676294.8819801387874862505119648
2024-11-15 11:20:00 +0000,3383202766.3713096113519579885375008
2024-11-16 11:20:00 +0000,2315644326.28156860626973021534548804
2024-11-17 11:20:00 +0000,2143835236.7177028729533336018682423
2024-11-18 11:20:00 +0000,1872422306.62174184018939673372910544
2024-11-19 11:20:00 +0000,2734138166.24587175889454266044805324
2024-11-20 11:20:00 +0000,2302649887.9101968848407035337476788
2024-11-21 11:20:00 +0000,3185125898.27978709419448824768868192
