snapped_at,volume
2024-08-02 06:30:00 +0000,1623332199.80711349492814600692751032
2024-08-03 06:30:00 +0000,1777919719.87810144441543582722506265
2024-08-04 06:30:00 +0000,1547359073.23065097401298228906791312
2024-08-05 06:30:00 +0000,2995144207.9125729024274877262948804
2024-08-06 06:30:00 +0000,3817460609.25965077603594685078645568
2024-08-07 06:30:00 +0000,2079405479.9266226267874827963826159
2024-08-08 06:30:00 +0000,2012359698.64225197497701479654249168
2024-08-09 06:30:00 +0000,1873812815.68412788651758073550787708
2024-08-10 06:30:00 +0000,1571804689.83911333999798771759156045
2024-08-11 06:30:00 +0000,1346575141.59431420735022874249009992
2024-08-12 06:30:00 +0000,1508651668.95786878048260645966670286
2024-08-13 06:30:00 +0000,1786642065.30358782595201404414882456
2024-08-14 06:30:00 +0000,1493407795.35830380441641566109306716
2024-08-15 06:30:00 +0000,1543233433.79382128270864422879478643
2024-08-16 06:30:00 +0000,1547103370.76240503622444548285129145
2024-08-17 06:30:00 +0000,1482716224.98482551800574615305749568
2024-08-18 06:30:00 +0000,1376557717.20898519067686187151974555
2024-08-19 06:30:00 +0000,1434944298.305620725013257946713155
2024-08-20 06:30:00 +0000,1455575338.81587469764674354577240816
2024-08-21 06:30:00 +0000,1437838211.32065712962343541802934512
2024-08-22 06:30:00 +0000,1517366607.96139717243886064356020943
2024-08-23 06:30:00 +0000,1402037002.75047229372531456361316935
2024-08-24 06:30:00 +0000,1595708517.77062004394497646425049043
2024-08-25 06:30:00 +0000,1433045443.16460154602911966895786747
2024-08-26 06:30:00 +0000,1372943367.10424661923117298937585126
2024-08-27 06:30:00 +0000,1883939456.5847119905031210278554757
2024-08-28 06:30:00 +0000,1719566074.73541519752862064893429192
2024-08-29 06:30:00 +0000,1781606012.34795913278331817063092215
2024-08-30 06:30:00 +0000,1627309719.60619074009680114212150638
2024-08-31 06:30:00 +0000,1558721815.1419096903005540252895025
2024-09-01 06:30:00 +0000,1386109404.08566976047251281653779642
2024-09-02 06:30:00 +0000,1509780444.588694630750659641865009
2024-09-03 06:30:00 +0000,1419941981.35659234690736849355103634
2024-09-04 06:30:00 +0000,1490645007.1592975728581492785320321
2024-09-05 06:30:00 +0000,1562836469.81740000998978910959068009
2024-09-06 06:30:00 +0000,1483936195.598372879809130467084965
2024-09-07 06:30:00 +0000,1730665370.33579305673693275520026224
2024-09-08 06:30:00 +0000,1379367466.18971384241429999834660905
2024-09-09 06:30:00 +0000,1405260476.57118151377863109527426048
2024-09-10 06:30:00 +0000,1549260712.12497053404877375617844757
2024-09-11 06:30:00 +0000,1412607905.8119139588634403512282709
2024-09-12 06:30:00 +0000,1425385333.54927090889507033876897244
2024-09-13 06:30:00 +0000,1367293138.0406417201739126158697242
2024-09-14 06:30:00 +0000,1445893162.2607373006254018909205583
2024-09-15 06:30:00 +0000,1432598380.66380486746975864685041212
2024-09-16 06:30:00 +0000,1320104313.84224637313787729047884456
2024-09-17 06:30:00 +0000,1348326008.45761385492783504342112904
2024-09-18 06:30:00 +0000,1529533420.90777589211454298538105684
2024-09-19 06:30:00 +0000,1631349482.83898573144939185288997712
2024-09-20 06:30:00 +0000,1517662063.48161512363809991754366379
2024-09-21 06:30:00 +0000,1542818536.6223415507506183003476865
2024-09-22 06:30:00 +0000,1388156898.42988159412416793758331119
2024-09-23 06:30:00 +0000,1471143338.244084557665175284409229
2024-09-24 06:30:00 +0000,1468582045.91911300924921470879256325
2024-09-25 06:30:00 +0000,1547949319.5349287432520657209214405
2024-09-26 06:30:00 +0000,1537885010.7822877602925123020488064
2024-09-27 06:30:00 +0000,1812239444.17342316116906133019007095
2024-09-28 06:30:00 +0000,1687651866.7366007369454826628172256
2024-09-29 06:30:00 +0000,1503758799.82662007053898857841999428
