1749513600,216260
1749600000,395921
1749686400,477885
1749772800,924853
1749859200,438669
1749945600,358338
1750032000,528498
1750118400,662654
1750204800,777313
1750291200,575368
1750377600,559044
1750464000,569932
1750550400,907051
1750636800,1315955
1750723200,949812
1750809600,727464
1750896000,612770
1750982400,545836
1751068800,479427
1751155200,481827
1751241600,844498
1751328000,649395
1751414400,1027815
1751500800,1760652
1751587200,1720068
1751673600,1457886
1751760000,1632253
1751846400,2430454
1751932800,3117769
1752019200,4021387
1752105600,3902128
1752192000,6396242
1752278400,5624588
1752364800,4506793
1752451200,5466268
1752537600,8518531
1752624000,5598737
1752710400,6163540
1752796800,4382755
1752883200,4837502
1752969600,4649197
1753056000,6789417
1753142400,7875242
1753228800,6309038
