timestamp,hash,type,token,amount,isDeposit,usdcValue,user,destination,fee,nativeTokenFee,nonce
2025-07-04T07:01:00.700000,0xc9642a98476312095c990426cbff67010a00d17da9e65335779ed63af51ca246,cStakingTransfer,HYPE,532170.52517,True,,,,,,
2025-07-04T06:58:00.022000,0xc1724778f87f4f66fb8b0426cbf6440155006482db0b0815395f46ad384e335b,spotTransfer,HYPE,232170.52517,,9044667.1490470003,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-06-30T06:23:59.074000,0x0000000000000000000000000000000000000000000000000000000000000000,cStakingTransfer,HYPE,300000.0,False,,,,,,
2025-06-21T18:06:32.314000,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,spotGenesis,LICKO,290047.99616008,,,,,,,
2025-06-19T06:49:00.027000,0x95f7bd0bac208d26ec460425cd5fc402016600ffa71c2af5a6f2c3d5d5a2f8b0,spotTransfer,HYPE,459357.7727527,,17419306.1005280018,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-06-17T19:21:44.733000,0x2496d16bcd69b9e88eec0425b46bcf0201f700758db89c22ad27f4442dc2fd9a,spotTransfer,NEKO,3504.42477876,,0.290867,0x6c22bc85c031847cd83a413f80d4a0f1d65c0eeb,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,1750188104487
2025-06-13T06:48:04.054000,0xb228719cecfbb9496a16042567f9a90205ee00674576d100a4d743331d987d7e,spotTransfer,HYPE,448403.24627281,,17338856.7268449999,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-06-04T04:26:50.384000,0x904253dc4bc34ec173320424ce3ce60133006826d1b42c5fde1b972805e084e6,spotTransfer,HYPE,50000.000008,,1834550.0002929999,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0x2222222222222222222222222222222222222222,0.0,0.0,1749011200855
2025-05-25T04:37:44.572000,0x3aec4c68b155fe6a09ab042424f80b014f00115a4769bccf76870de3529cd4a7,spotTransfer,HYPE,320000.00004,,11106880.0013880003,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0x2222222222222222222222222222222222222222,0.0,0.0,
2025-05-09T21:16:15.660000,0x9e52aebc88e5b8edea29042323af610171001e6629f7d0563fc15be422173cea,spotTransfer,HYPE,400000.0,,9957600.0,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0x2222222222222222222222222222222222222222,0.0,0.0,
2025-05-09T04:04:08.039000,0xa2b9e9d6056fa7d163d5042317cab80201d600678abbeb290973bd840ccb1369,spotTransfer,HYPE,2991966.6245510899,,70260337.5779999942,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
2025-05-02T04:08:10.036000,0x1baea0e765ab7d9b33220422a540c802014a000fb1ce25a59d4fb0a4751111a0,spotTransfer,HYPE,1539523.3119598201,,31703397.1389999986,0x2222222222222222222222222222222222222222,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,0.0,0.0,
