snapped_at,price,market_cap,total_volume
2024-05-23 00:00:00 UTC,7.304890790194198e-05,0.0,10087.499799160909
2024-05-24 00:00:00 UTC,7.304890790194198e-05,0.0,10087.499799160909
2024-05-25 00:00:00 UTC,7.688506557887305e-05,0.0,23286.31531148374
2024-05-26 00:00:00 UTC,7.944315419742167e-05,0.0,19717.99612303452
2024-05-27 00:00:00 UTC,7.342700978991272e-05,0.0,22761.90138516482
2024-05-28 00:00:00 UTC,7.190849242979828e-05,0.0,11585.424585466935
2024-05-29 00:00:00 UTC,7.345708256964117e-05,0.0,4135.424873557149
2024-05-30 00:00:00 UTC,7.462931724144854e-05,1343423.780766987,8597.784758961954
2024-05-31 00:00:00 UTC,7.167834427171645e-05,1290606.389732708,17946.64316226989
2024-06-01 00:00:00 UTC,7.066696451457013e-05,1272060.9941715458,8407.749489760481
2024-06-02 00:00:00 UTC,7.014960512211402e-05,1262372.6223137784,15168.034397239908
2024-06-03 00:00:00 UTC,7.294435230164498e-05,1312998.3414296096,15702.867238197266
2024-06-04 00:00:00 UTC,7.344918244989332e-05,1321897.1142972817,18385.157326958524
2024-06-05 00:00:00 UTC,7.441174615948103e-05,1339220.5376985776,28160.444542629717
2024-06-06 00:00:00 UTC,7.261558214798549e-05,1308064.971853036,26507.895740210497
2024-06-07 00:00:00 UTC,6.862692708089342e-05,1235284.6874560816,29006.590349442107
2024-06-08 00:00:00 UTC,6.857846236611521e-05,1233586.53042662,24058.190284406195
2024-06-09 00:00:00 UTC,6.419090814680124e-05,1155117.7186785138,12296.513695069876
2024-06-10 00:00:00 UTC,6.433319888921298e-05,1157878.3624438697,7228.715207981912
2024-06-11 00:00:00 UTC,6.0766378624781214e-05,1093736.1839737582,14637.26248642536
2024-06-12 00:00:00 UTC,5.638905582459212e-05,1015003.0048426582,8020.642153385622
2024-06-13 00:00:00 UTC,3.595843422625508e-05,646474.8568620422,11919.232248025406
2024-06-14 00:00:00 UTC,3.3921641837967644e-05,611191.6976990782,5491.747939312519
2024-06-15 00:00:00 UTC,5.5939997273801945e-05,1006923.2064279851,36164.54046539508
