snapped_at,price,market_cap,total_volume
2025-06-21 00:00:00 UTC,1.0006669417698413,0.0,74969.38878215509
2025-06-22 00:00:00 UTC,1.0006669417698413,0.0,74969.38878215509
2025-06-23 00:00:00 UTC,1.0022029604985718,5907187.5177951045,53818.44578793704
2025-06-24 00:00:00 UTC,1.002996856646169,6264108.940612101,123815.88096845576
2025-06-25 00:00:00 UTC,1.0013657123659738,6454087.646350145,69882.21962795369
2025-06-26 00:00:00 UTC,1.0049542752114957,6581919.402762159,122288.78792107225
2025-06-27 00:00:00 UTC,0.9983819399383598,6652552.435109131,335629.0512617234
2025-06-28 00:00:00 UTC,1.001888293577606,7395807.530468182,219783.1230739677
2025-06-29 00:00:00 UTC,1.0013846116930896,8522554.749705415,192200.87784745995
2025-06-30 00:00:00 UTC,0.9985391491799553,8384297.836957881,240857.84686495815
2025-07-01 00:00:00 UTC,0.9952950711869749,8347077.856427904,397867.0454504923
2025-07-02 00:00:00 UTC,1.001044786458993,8179492.823160215,117452.3540576825
2025-07-03 00:00:00 UTC,0.9982362451420752,8291973.1454215525,1144057.0520804715
2025-07-04 00:00:00 UTC,0.9918328740807754,8000177.648413125,2099877.300256729
2025-07-05 00:00:00 UTC,1.0002274057689742,7148190.603292834,1628781.3691289253
2025-07-06 00:00:00 UTC,0.9998965340708843,7181736.531310287,776966.1304104285
2025-07-07 00:00:00 UTC,1.000133259203709,7169274.121518488,1743928.1442259012
2025-07-08 00:00:00 UTC,0.9997072727953974,7159496.648229976,1098313.671196461
2025-07-09 00:00:00 UTC,1.0003115756754737,7192868.703962261,1001137.3633729208
2025-07-10 00:00:00 UTC,1.0001512282243508,7229912.716259158,832198.8592861607
2025-07-11 00:00:00 UTC,1.0011665768028617,6316955.448897015,1130528.0518307067
2025-07-12 00:00:00 UTC,1.0010626782760474,6356498.396094338,1551546.490058314
2025-07-13 00:00:00 UTC,1.0025675389617437,6189693.737633322,904214.7570846381
2025-07-14 00:00:00 UTC,1.0039896622939142,6238545.236675519,748183.5419339607
