snapped_at,price,market_cap,total_volume
2025-04-02 00:00:00 UTC,81419.65488958592,0.0,1698041.8808429597
2025-04-03 00:00:00 UTC,81549.36006476727,0.0,1688863.339778721
2025-04-04 00:00:00 UTC,82752.11591790075,4396369.067351678,1384852.581626882
2025-04-05 00:00:00 UTC,83517.17676895212,4450482.459471179,1736424.9230795843
2025-04-06 00:00:00 UTC,83628.45458497142,4456412.257238317,1038386.3195527766
2025-04-07 00:00:00 UTC,78166.00119958448,4165327.789134253,1139944.353155018
2025-04-08 00:00:00 UTC,78751.51809738124,4233821.9312339835,3915422.654248983
2025-04-09 00:00:00 UTC,76917.86658471188,4082477.2917748517,2963667.2131305984
2025-04-10 00:00:00 UTC,82728.40307276463,4405370.335658906,5423868.251196453
2025-04-11 00:00:00 UTC,79263.14739377577,4224908.195027597,4926871.245547314
2025-04-12 00:00:00 UTC,83446.41402259779,4435859.806967787,3539740.640688673
2025-04-13 00:00:00 UTC,85745.34768145616,4580920.113236461,2810782.0060273283
2025-04-14 00:00:00 UTC,83643.03639402734,4474739.016241061,3299167.031232211
2025-04-15 00:00:00 UTC,84029.47129957085,4484196.8699779585,2981120.8955362123
2025-04-16 00:00:00 UTC,83807.92357986976,4465975.848186379,2862610.10073607
2025-04-17 00:00:00 UTC,84314.3141482599,4493261.836684528,3114168.669069049
2025-04-18 00:00:00 UTC,86393.1059915599,4603735.635105999,3254835.564816879
2025-04-19 00:00:00 UTC,84526.10380664637,4504246.352368751,2469230.071343981
2025-04-20 00:00:00 UTC,85003.02936641424,4529565.041236879,2693862.859883471
2025-04-21 00:00:00 UTC,84908.93326817814,4524647.3464442,2415354.2418964864
2025-04-22 00:00:00 UTC,87257.02252542532,4649772.217389568,2997085.9122355185
2025-04-23 00:00:00 UTC,94300.34055132851,5019814.783525465,3823004.300369329
2025-04-24 00:00:00 UTC,93577.25120881379,4979415.812375777,3622456.9784383895
2025-04-25 00:00:00 UTC,93959.69699008622,5006945.870649459,3809757.8710554484
2025-04-26 00:00:00 UTC,94936.57048456473,5055314.580772521,2795844.320727047
2025-04-27 00:00:00 UTC,94588.38047016849,5040447.30004291,2195011.1491736704
2025-04-28 00:00:00 UTC,93815.98138739838,5000683.866215082,2043687.4864816898
2025-04-29 00:00:00 UTC,95719.0641006745,5088746.766012779,5054222.444013608
2025-04-30 00:00:00 UTC,94210.023769077,5020285.341428223,3346286.0413879366
2025-05-01 00:00:00 UTC,94409.8211304367,5030932.1890179105,4024124.3483221307
2025-05-02 00:00:00 UTC,96349.20095830815,5134278.305830169,7193169.527951848
2025-05-03 00:00:00 UTC,96856.84108883842,5153627.770688211,4323223.623182434
2025-05-04 00:00:00 UTC,95440.69741063163,5088271.2877352545,4232989.162303067
2025-05-05 00:00:00 UTC,94852.87662782139,5048906.959632476,3156211.1830101917
2025-05-06 00:00:00 UTC,94794.93357304821,5049830.423076384,3068729.502453193
2025-05-07 00:00:00 UTC,96837.7106950098,5158522.695140554,4279060.809468557
2025-05-08 00:00:00 UTC,97023.54006804408,5180566.13596514,2742187.02895094
2025-05-09 00:00:00 UTC,104085.84921570442,5547353.18209477,5862435.161861662
2025-05-10 00:00:00 UTC,102748.34463226207,5457805.050495103,6906873.729720601
2025-05-11 00:00:00 UTC,105220.92659426459,5590310.017884537,3644418.6757088257
2025-05-12 00:00:00 UTC,103949.26848631831,5541866.996872713,6510472.284939078
2025-05-13 00:00:00 UTC,103226.72371257006,5500769.314825039,4676871.82415023
2025-05-14 00:00:00 UTC,104138.92896851394,5562548.113308068,4786209.7340600295
2025-05-15 00:00:00 UTC,103486.34381937723,5517235.592880685,3037591.0582511476
2025-05-16 00:00:00 UTC,103987.28702708679,5573712.789891774,3264950.601895795
2025-05-17 00:00:00 UTC,104352.12353825964,5530469.812765265,4070288.323956328
2025-05-18 00:00:00 UTC,103447.17449868759,5517090.098916235,3373494.2390817897
2025-05-19 00:00:00 UTC,106422.30654075628,5663467.378304609,2558031.9430938256
2025-05-20 00:00:00 UTC,105628.83267289518,5628179.583799007,2957157.8304330553
2025-05-21 00:00:00 UTC,106945.1123010165,5715113.600494213,2126129.564738108
2025-05-22 00:00:00 UTC,110308.98239089985,5879255.540521412,3272170.3324796427
