snapped_at,price,market_cap,total_volume
2025-06-10 00:00:00 UTC,0.003364811584968187,0.0,1045132.7036995137
2025-06-11 00:00:00 UTC,0.003364811584968187,0.0,1045132.7036995137
2025-06-12 00:00:00 UTC,0.003633618621539619,3631712.142956024,623263.8746855432
2025-06-13 00:00:00 UTC,0.003062640788471882,3058721.904197145,361965.23413895705
2025-06-14 00:00:00 UTC,0.002926459051935156,2926459.051935156,543407.5963765415
2025-06-15 00:00:00 UTC,0.0026034808775255895,2603480.877525589,174697.0126263513
2025-06-16 00:00:00 UTC,0.0026956453964055334,2689883.374794317,115897.13528892613
2025-06-17 00:00:00 UTC,0.004041087513857967,4059588.508801616,492047.0140247658
2025-06-18 00:00:00 UTC,0.0032524451724411964,3264509.841345373,333576.8365163466
2025-06-19 00:00:00 UTC,0.0032968328212762475,3281581.922902248,219772.58358253568
2025-06-20 00:00:00 UTC,0.0030214736698550215,3021473.669855021,164140.0465483425
2025-06-21 00:00:00 UTC,0.0023783057464398924,2386137.039041639,196613.63857897779
2025-06-22 00:00:00 UTC,0.0021909226887441356,2160402.096819148,209245.30543065284
2025-06-23 00:00:00 UTC,0.002526072187939097,2519496.121154855,168573.97645132945
2025-06-24 00:00:00 UTC,0.003093071872310807,3090046.928003792,151500.2026719293
2025-06-25 00:00:00 UTC,0.002812115427421256,2805343.716119813,124980.87075050845
2025-06-26 00:00:00 UTC,0.002940844715474887,2944442.325820329,137915.4030906051
2025-06-27 00:00:00 UTC,0.0031046718524904483,3105443.460463172,132089.5124004073
2025-06-28 00:00:00 UTC,0.0027786321405831077,2778705.138704072,48615.051849284195
2025-06-29 00:00:00 UTC,0.003029336655376364,3029879.163418199,22785.812206874823
2025-06-30 00:00:00 UTC,0.0033604869249925506,3362239.678399955,84979.54005508934
2025-07-01 00:00:00 UTC,0.0029624448291739633,2963383.74651607,157936.52643902617
2025-07-02 00:00:00 UTC,0.002761296707435055,2759833.566844017,83751.66146981179
2025-07-03 00:00:00 UTC,0.003055998665591275,3055998.665591275,58782.73102480491
2025-07-04 00:00:00 UTC,0.002760171363183058,2758057.776629544,69789.46817652525
2025-07-05 00:00:00 UTC,0.0027064314488490573,2706431.448849057,33372.38416736763
2025-07-06 00:00:00 UTC,0.002422626020166758,2422626.020166758,60673.306925648554
2025-07-07 00:00:00 UTC,0.0024543272096309724,2454327.209630972,26398.071582727123
2025-07-08 00:00:00 UTC,0.00213951948849355,2143425.086573594,67424.43336737507
2025-07-09 00:00:00 UTC,0.001990546100493948,1998565.276874231,50642.668996092965
2025-07-10 00:00:00 UTC,0.0022871161638447855,2289638.529559039,42063.84129556088
2025-07-11 00:00:00 UTC,0.0027406209666412805,2735943.815923742,152769.7325305662
2025-07-12 00:00:00 UTC,0.0022695264907751198,2270477.706167683,86706.96229156617
2025-07-13 00:00:00 UTC,0.0021143451023476994,2106445.684791843,69533.42861260894
2025-07-14 00:00:00 UTC,0.0024091301444115086,2413602.672970101,38979.68944678246
