snapped_at,lhype-usd-max,purr-usd-max,hl-usd-max,usdt0-usd-max,wgc-usd-max,ubtc-usd-max,ush-usd-max,rusdc-hyper-usd-max,usde-usd-max,licko-usd-max,xaut0-usd-max,kitten-usd-max,usdxl-usd-max,sthype-usd-max,kei-usd-max,feusd-usd-max,whlp-usd-max,hfun-usd-max,pip-usd-max,buddy-usd-max,ueth-usd-max,hwhlp-usd-max,liqd-usd-max,whype-usd-max
2024-06-22 00:00:00+00:00,,664910392.16986,,,17997654910.930656,,,,,,,,,,,,,998646.8518895693,,,,,,
2024-06-23 00:00:00+00:00,,673076746.7735486,,,18010781656.66973,,,,,,,,,,,,,999770.0118827878,,,,,,
2024-06-24 00:00:00+00:00,,724452073.8165486,,,18000000000.0,,,,,,,,,,,,,946881.0821921885,,,,,,
2024-06-25 00:00:00+00:00,,704220877.1907473,,,18000903066.79146,,,,,,,,,,,,,997819.7454257646,,,,,,
2024-06-26 00:00:00+00:00,,696041639.2709745,,,18000000000.000004,,,,,,,,,,,,,1000342.9613638442,,,,,,
2024-06-27 00:00:00+00:00,,712230491.8083658,,,18000000000.0,,,,,,,,,,,,,999797.940845989,,,,,,
2024-06-28 00:00:00+00:00,,715800105.7895902,,,18000000000.0,,,,,,,,,,,,,999383.2420023081,,,,,,
2024-06-29 00:00:00+00:00,,694915268.8045094,,,18006629321.677795,,,,,,,,,,,,,999341.1291962949,,,,,,
2024-06-30 00:00:00+00:00,,698803732.8914355,,,18000000000.0,,,,,,,,,,,,,999824.1277790635,,,,,,
2024-07-01 00:00:00+00:00,,593417390.9939768,,,18000000000.000004,,,,,,,,,,,,,1000752.6013886882,,,,,,
2024-07-02 00:00:00+00:00,,625746986.0134546,,,17990262206.573936,,,,,,,,,,,,,998504.5331168588,,,,,,
2024-07-03 00:00:00+00:00,,580424697.8642042,,,18050141292.719864,,,,,,,,,,,,,998786.8478195585,,,,,,
