snapped_at,price,market_cap,total_volume
2025-04-02 00:00:00 UTC,1768.2553493482735,0.0,414095.3861543115
2025-04-03 00:00:00 UTC,1768.2553493482735,0.0,414095.3861543115
2025-04-04 00:00:00 UTC,1803.3330726011586,979073.3807089913,323509.5752429066
2025-04-05 00:00:00 UTC,1809.4623312104495,980600.4976382322,560863.329202779
2025-04-06 00:00:00 UTC,1811.7946606984865,982096.8807147685,297392.7688447782
2025-04-07 00:00:00 UTC,1574.0656661692065,853032.1681403707,472529.33556401555
2025-04-08 00:00:00 UTC,1542.8754545567676,843068.3245498964,1829302.111350081
2025-04-09 00:00:00 UTC,1480.613579833855,798948.9976575704,575418.1676677985
2025-04-10 00:00:00 UTC,1656.8918066941244,898204.0338257467,649480.393478908
2025-04-11 00:00:00 UTC,1515.139130080271,821270.2129659248,451886.40665279026
2025-04-12 00:00:00 UTC,1572.4515367927609,852157.4242772384,376806.8761083895
2025-04-13 00:00:00 UTC,1643.9666000412567,898955.5326805947,294248.8894395577
2025-04-14 00:00:00 UTC,1600.4619636301557,864114.5399013129,489682.0017272349
2025-04-15 00:00:00 UTC,1615.3732031195977,875417.9291430141,577865.6921537494
2025-04-16 00:00:00 UTC,1586.1625832526256,859587.8408986722,410711.09678543324
2025-04-17 00:00:00 UTC,1569.7037396133253,854894.887424403,707461.9675886884
2025-04-18 00:00:00 UTC,1608.3464443335465,871609.923282082,965500.6931602372
2025-04-19 00:00:00 UTC,1587.4116645411798,860264.7545387187,693400.037330178
2025-04-20 00:00:00 UTC,1613.6477934608452,874481.9776618783,677317.6163877757
2025-04-21 00:00:00 UTC,1580.6654796248436,856608.8985376444,549555.0716185905
2025-04-22 00:00:00 UTC,1574.1859970312871,853184.7608401803,848622.6202420703
2025-04-23 00:00:00 UTC,1766.364360387485,961406.2850367001,1454205.389347433
2025-04-24 00:00:00 UTC,1793.2066499292105,972570.757790776,1069438.6077194088
2025-04-25 00:00:00 UTC,1771.2969868110822,959917.5825727839,953776.2356755674
2025-04-26 00:00:00 UTC,1790.5375077430103,969966.8135742274,947085.417198005
2025-04-27 00:00:00 UTC,1819.7583492079302,986180.2105716693,779911.2814411629
2025-04-28 00:00:00 UTC,1793.0324519606609,971851.5623070343,717909.7241592014
2025-04-29 00:00:00 UTC,1808.450167979537,980051.9768147789,1752700.6983018385
2025-04-30 00:00:00 UTC,1787.9131100808022,968922.3451843415,1011199.5161774397
2025-05-01 00:00:00 UTC,1797.1116668464877,973907.3118158105,1460860.2622939919
2025-05-02 00:00:00 UTC,1830.4916542908413,996438.732708954,2179729.9407707923
2025-05-03 00:00:00 UTC,1840.1164535196976,996228.0949811615,1560025.9064868728
2025-05-04 00:00:00 UTC,1822.311161817954,988354.6335457088,1081968.786007227
2025-05-05 00:00:00 UTC,1815.9371947956306,984138.2392013372,799473.0647511573
2025-05-06 00:00:00 UTC,1810.5979441267912,983146.8300742974,736398.2754737583
2025-05-07 00:00:00 UTC,1821.1234994207095,987667.9942316127,978718.3410914517
2025-05-08 00:00:00 UTC,1805.533234828048,978155.9440407592,653013.4765883276
2025-05-09 00:00:00 UTC,2204.9415469455575,1194922.237895737,1896012.876561207
2025-05-10 00:00:00 UTC,2331.454257641335,1258697.8396102856,3169486.909880469
2025-05-11 00:00:00 UTC,2604.4988673005355,1406697.306837637,1961377.3603510943
2025-05-12 00:00:00 UTC,2506.4769285369516,1358064.0684701412,2810448.7840941357
2025-05-13 00:00:00 UTC,2482.457832399864,1345316.4201482972,2132454.5374735263
2025-05-14 00:00:00 UTC,2675.286283763653,1453504.1194014766,2685062.799782513
2025-05-15 00:00:00 UTC,2596.5028432674576,1407083.586652114,1981317.3080185826
2025-05-16 00:00:00 UTC,2560.07777622217,1387371.7360765475,1888978.651420597
2025-05-17 00:00:00 UTC,2558.2965125856117,1386606.454892177,2434777.2034064983
2025-05-18 00:00:00 UTC,2482.097043563952,1345336.7958938351,2244808.0346525055
2025-05-19 00:00:00 UTC,2491.37121629366,1350146.8432696508,2392622.0783761735
2025-05-20 00:00:00 UTC,2538.316463563066,1375587.844190258,1648080.6636163932
2025-05-21 00:00:00 UTC,2528.597605269808,1372814.194669422,1050004.1646316156
2025-05-22 00:00:00 UTC,2561.915283085746,1389674.871753068,1858921.670288339
2025-05-23 00:00:00 UTC,2649.091369064083,1435812.5719562825,3306468.186537155
2025-05-24 00:00:00 UTC,2540.9084765544108,1365440.1582897555,2844674.0954185454
2025-05-25 00:00:00 UTC,2532.684206429129,1368507.6572356154,2329903.506548872
2025-05-26 00:00:00 UTC,2551.2392408038404,1382591.074693926,2227590.446982132
2025-05-27 00:00:00 UTC,2574.5994095650963,1395250.6325731315,3213213.028244696
2025-05-28 00:00:00 UTC,2649.280830552773,1435722.6762966707,4345092.359519465
2025-05-29 00:00:00 UTC,2657.097835589145,1447607.40505316,3098366.8261249335
2025-05-30 00:00:00 UTC,2631.3215040435407,1423397.3277211133,4277756.452786422
2025-05-31 00:00:00 UTC,2531.307788295188,1359141.29647552,5246294.724374618
2025-06-01 00:00:00 UTC,2534.209508562113,1371344.3702434802,3241685.867986648
2025-06-02 00:00:00 UTC,2536.2534009325846,1374987.906943737,2393518.890084322
2025-06-03 00:00:00 UTC,2608.13782502569,1413499.1622085157,3388031.9143767944
2025-06-04 00:00:00 UTC,2592.184832007832,1408893.1458995875,3466170.954800224
2025-06-05 00:00:00 UTC,2607.109405395384,1413058.7649924739,3496470.026893444
